id	gene	qpcr	rnaseq
ind1	HLA-A	0.649	562.167605
ind1	HLA-B	1.046	803.234228
ind1	HLA-C	0.67	461.706166
ind2	HLA-A	0.34	526.238214
ind2	HLA-B	1.311	887.124763
ind2	HLA-C	2.738	771.263235
ind3	HLA-A	0.489	351.27515400000004
ind3	HLA-B	1.234	685.577603
ind3	HLA-C	3.418	462.13124300000004
ind4	HLA-A	0.88	770.0558900000001
ind4	HLA-B	1.078	1403.17867
ind4	HLA-C	6.1	1002.072643
ind5	HLA-A	0.655	406.62512100000004
ind5	HLA-B	1.327	836.884293
ind5	HLA-C	1.982	538.324423
ind6	HLA-A	2.464	826.992702
ind6	HLA-B	1.004	1242.535252
ind6	HLA-C	3.204	713.2127849999999
ind7	HLA-A	0.433	440.39625
ind7	HLA-B	1.085	714.6009690000001
ind7	HLA-C	1.264	364.117664
ind8	HLA-A	0.312	377.49017000000003
ind8	HLA-B	1.315	700.5944440000001
ind8	HLA-C	2.889	384.40605600000004
ind9	HLA-A	0.295	350.859337
ind9	HLA-B	0.791	624.161515
ind9	HLA-C	1.814	361.804644
ind10	HLA-A	0.55	446.571814
ind10	HLA-B	1.519	944.247308
ind10	HLA-C	1.947	503.644091
ind11	HLA-A	0.518	363.55391
ind11	HLA-B	1.219	729.144365
ind11	HLA-C	2.732	454.98393699999997
ind12	HLA-A	0.533	371.99935000000005
ind12	HLA-B	1.053	764.337031
ind12	HLA-C	5.325	518.701705
ind13	HLA-A	1.13	571.390773
ind13	HLA-B	1.315	1412.952035
ind13	HLA-C	2.177	444.27193
ind14	HLA-A	0.419	411.693982
ind14	HLA-B	0.951	745.394959
ind14	HLA-C	2.767	468.92958999999996
ind15	HLA-A	0.346	499.76996
ind15	HLA-B	0.96	1086.484122
ind15	HLA-C	4.094	652.341601
ind16	HLA-A	0.613	452.002728
ind16	HLA-B	1.026	725.45666
ind16	HLA-C	1.469	390.91024600000003
ind17	HLA-A	0.817	349.380933
ind17	HLA-B	0.974	781.182683
ind17	HLA-C	1.776	467.042283
ind18	HLA-A	0.413	494.697982
ind18	HLA-B	0.835	1223.1453980000001
ind18	HLA-C	1.659	498.718496
ind19	HLA-A	1.047	573.120827
ind19	HLA-B	1.17	1000.305079
ind19	HLA-C	3.116	702.879713
ind20	HLA-A	0.11	450.033446
ind20	HLA-B	1.096	856.52774
ind20	HLA-C	2.037	447.268917
ind21	HLA-A	0.311	400.110884
ind21	HLA-B	1.206	747.0016109999999
ind21	HLA-C	1.195	358.133652
ind22	HLA-A	0.58	399.31525799999997
ind22	HLA-B	0.761	768.537846
ind22	HLA-C	2.607	421.869139
ind23	HLA-A	0.482	399.77819
ind23	HLA-B	0.991	861.82606
ind23	HLA-C	4.018	603.525431
ind24	HLA-A	0.494	442.638265
ind24	HLA-B	1.313	816.408894
ind24	HLA-C	3.059	626.246021
ind25	HLA-A	0.002	352.330267
ind25	HLA-B	1.092	807.049546
ind25	HLA-C	3.03	485.61565
ind26	HLA-A	0.216	396.35905
ind26	HLA-B	1.171	806.019896
ind26	HLA-C	5.43	460.89799800000003
ind27	HLA-A	0.37	352.743508
ind27	HLA-B	1.03	638.478746
ind27	HLA-C	0.864	324.39528900000005
ind28	HLA-A	0.589	268.795695
ind28	HLA-B	0.697	654.0897190000001
ind28	HLA-C	2.039	322.575965
ind29	HLA-A	0.288	489.440528
ind29	HLA-B	1.222	1088.6341499999999
ind29	HLA-C	1.646	493.516551
ind30	HLA-A	0.423	516.001254
ind30	HLA-B	1.134	771.8357599999999
ind30	HLA-C	2.204	559.963297
ind31	HLA-A	0.285	489.961318
ind31	HLA-B	0.956	940.2046280000001
ind31	HLA-C	3.886	738.858052
ind32	HLA-A	0.907	502.552724
ind32	HLA-B	1.565	821.1359689999999
ind32	HLA-C	2.305	555.222023
ind33	HLA-A	0.718	374.47643800000003
ind33	HLA-B	1.035	790.743573
ind33	HLA-C	1.964	401.034912
ind34	HLA-A	0.406	308.18490399999996
ind34	HLA-B	0.901	631.758221
ind34	HLA-C	2.161	311.063823
ind35	HLA-A	0.6	368.203489
ind35	HLA-B	1.157	597.670371
ind35	HLA-C	2.003	331.667077
ind36	HLA-A	1	507.951306
ind36	HLA-B	0.923	919.085693
ind36	HLA-C	4.21	512.533978
ind37	HLA-A	0.25	446.38847
ind37	HLA-B	1.288	750.794295
ind37	HLA-C	2.213	526.8948439999999
ind38	HLA-A	0.455	408.894853
ind38	HLA-B	0.978	756.1159399999999
ind38	HLA-C	3.22	516.061768
ind39	HLA-A	0.362	431.735343
ind39	HLA-B	1.252	809.5569479999999
ind39	HLA-C	5.589	449.550763
ind40	HLA-A	0.729	399.990227
ind40	HLA-B	0.997	649.053444
ind40	HLA-C	2.065	457.017152
ind41	HLA-A	0.944	398.420308
ind41	HLA-B	0.734	723.86591
ind41	HLA-C	2.181	416.21638
ind42	HLA-A	0.874	466.217555
ind42	HLA-B	1.147	1000.695436
ind42	HLA-C	1.652	461.494664
ind43	HLA-A	0.013	428.51625
ind43	HLA-B	1.214	852.753939
ind43	HLA-C	4.462	731.412346
ind44	HLA-A	0.9	469.01744900000006
ind44	HLA-B	1.077	930.6173249999999
ind44	HLA-C	0.884	527.814114
ind45	HLA-A	0.404	461.844834
ind45	HLA-B	1.152	748.051915
ind45	HLA-C	3.729	516.119579
ind46	HLA-A	0.415	402.99503300000003
ind46	HLA-B	0.973	680.28207
ind46	HLA-C	2.101	461.724907
ind47	HLA-A	0.723	550.9767489999999
ind47	HLA-B	1.223	793.1506690000001
ind47	HLA-C	1.709	587.986842
ind48	HLA-A	0.638	386.07791
ind48	HLA-B	0.904	774.446148
ind48	HLA-C	2.619	478.039851
ind49	HLA-A	0.627	483.435189
ind49	HLA-B	1.01	713.761574
ind49	HLA-C	0.917	361.477936
ind50	HLA-A	0.539	364.24366799999996
ind50	HLA-B	1.008	688.190241
ind50	HLA-C	2.867	336.157095
ind51	HLA-A	0.454	467.670891
ind51	HLA-B	1.196	781.073673
ind51	HLA-C	2.207	471.221538
ind52	HLA-A	0.067	576.192818
ind52	HLA-B	0.927	990.114278
ind52	HLA-C	0.758	502.936985
ind53	HLA-A	0.589	326.17834000000005
ind53	HLA-B	1.077	759.392952
ind53	HLA-C	1.288	434.64128300000004
ind54	HLA-A	0.982	451.210107
ind54	HLA-B	1.158	883.421158
ind54	HLA-C	2.131	546.485877
ind55	HLA-A	0.024	418.10359800000003
ind55	HLA-B	1.11	803.762676
ind55	HLA-C	2.253	398.544602
ind56	HLA-A	0.903	590.9348669999999
ind56	HLA-B	1.079	1169.3454590000001
ind56	HLA-C	3.269	773.180717
ind57	HLA-A	0.169	346.869461
ind57	HLA-B	1.007	767.781984
ind57	HLA-C	3.075	391.72759199999996
ind58	HLA-A	0.537	250.01403900000003
ind58	HLA-B	1.332	505.57739200000003
ind58	HLA-C	2.959	336.14664400000004
ind59	HLA-A	0.565	385.466765
ind59	HLA-B	1.124	687.174025
ind59	HLA-C	1.873	362.31442500000003
ind60	HLA-A	0.639	423.024773
ind60	HLA-B	1.02	852.366269
ind60	HLA-C	2.009	476.112283
ind61	HLA-A	0.757	418.81252700000005
ind61	HLA-B	1.33	990.2331630000001
ind61	HLA-C	2.239	665.390726
ind62	HLA-A	0.456	585.3581899999999
ind62	HLA-B	1.105	926.34411
ind62	HLA-C	2.184	680.65339
ind63	HLA-A	0.609	428.43573
ind63	HLA-B	1.002	740.7514269999999
ind63	HLA-C	1.032	402.94552999999996
ind64	HLA-A	1.491	484.172949
ind64	HLA-B	0.894	659.780186
ind64	HLA-C	3.605	553.932091
ind65	HLA-A	0.468	419.43697099999997
ind65	HLA-B	1.497	898.196864
ind65	HLA-C	2.276	360.16861700000004
ind66	HLA-A	0.587	496.808484
ind66	HLA-B	1.46	748.491348
ind66	HLA-C	2.046	391.178878
ind67	HLA-A	0.316	431.738513
ind67	HLA-B	1.155	798.999501
ind67	HLA-C	1.857	390.44382099999996
ind68	HLA-A	0.87	463.266535
ind68	HLA-B	0.866	904.600685
ind68	HLA-C	3.899	505.92983300000003
ind69	HLA-A	0.69	565.217605
ind69	HLA-B	1.42	1225.489919
ind69	HLA-C	2.402	728.831782
ind70	HLA-A	0.389	462.747712
ind70	HLA-B	1.035	714.715603
ind70	HLA-C	2.326	408.944285
ind71	HLA-A	0.693	325.41791
ind71	HLA-B	1.121	625.085249
ind71	HLA-C	1.331	318.89842799999997
ind72	HLA-A	0.527	392.968388
ind72	HLA-B	0.754	699.2029660000001
ind72	HLA-C	2.869	466.6559
ind73	HLA-A	0.886	534.3080239999999
ind73	HLA-B	0.794	703.86209
ind73	HLA-C	1.904	367.429175
ind74	HLA-A	0.469	512.460376
ind74	HLA-B	0.965	764.827795
ind74	HLA-C	3.78	509.30345
ind75	HLA-A	0.301	501.908934
ind75	HLA-B	1.023	1085.864129
ind75	HLA-C	0.961	488.158951
ind76	HLA-A	0.897	645.830349
ind76	HLA-B	0.908	1113.122404
ind76	HLA-C	2.772	604.236324
ind77	HLA-A	0.832	465.151703
ind77	HLA-B	1.297	1105.351827
ind77	HLA-C	2.258	407.543643
ind78	HLA-A	0.684	460.51847
ind78	HLA-B	0.966	900.795138
ind78	HLA-C	1.894	329.614754
ind79	HLA-A	0.688	616.5805250000001
ind79	HLA-B	1.304	1143.109703
ind79	HLA-C	1.102	729.7437630000001
ind80	HLA-A	0.923	500.65115
ind80	HLA-B	1.208	691.9427450000001
ind80	HLA-C	0.898	354.951164
ind81	HLA-A	0.47	351.632929
ind81	HLA-B	0.883	685.3421430000001
ind81	HLA-C	2.175	312.89196000000004
ind82	HLA-A	0.329	434.733288
ind82	HLA-B	1.122	844.293006
ind82	HLA-C	6.5	666.178007
ind83	HLA-A	1.046	372.887642
ind83	HLA-B	0.953	665.777014
ind83	HLA-C	1.988	431.04306699999995
ind84	HLA-A	0.774	404.539626
ind84	HLA-B	0.9	832.700135
ind84	HLA-C	0.85	427.863297
ind85	HLA-A	1.691	1369.1653959999999
ind85	HLA-B	1.13	1668.2285219999999
ind85	HLA-C	5.2	1696.231848
ind86	HLA-A	0.541	444.70687499999997
ind86	HLA-B	0.955	809.201872
ind86	HLA-C	2.048	480.086046
ind87	HLA-A	0.27	297.480054
ind87	HLA-B	0.896	705.8729060000001
ind87	HLA-C	0.98	360.881067
ind88	HLA-A	0.216	394.760154
ind88	HLA-B	1.034	829.4969309999999
ind88	HLA-C	1.144	427.422779
ind89	HLA-A	0.47	374.876885
ind89	HLA-B	1.171	666.952084
ind89	HLA-C	1.161	360.990685
ind90	HLA-A	0.603	365.766124
ind90	HLA-B	1.07	708.484404
ind90	HLA-C	1.619	310.266143
ind91	HLA-A	0.017	316.495627
ind91	HLA-B	1.009	629.426259
ind91	HLA-C	1.666	329.023997
ind92	HLA-A	0.594	365.723305
ind92	HLA-B	0.911	616.2781560000001
ind92	HLA-C	1.64	342.052794
ind93	HLA-A	0.286	403.548942
ind93	HLA-B	1.032	730.1810350000001
ind93	HLA-C	2.751	365.84269700000004
ind94	HLA-A	0.37	379.136708
ind94	HLA-B	1.295	741.316354
ind94	HLA-C	1.411	369.623154
ind95	HLA-A	0.317	208.54974399999998
ind95	HLA-B	1.091	513.642179
ind95	HLA-C	1.366	191.60792400000003
ind96	HLA-A	0.332	353.555264
ind96	HLA-B	1.317	696.6620780000001
ind96	HLA-C	2.234	415.22652500000004
